CarCount,CircuitId,DestinationStationCode,DirectionNum,LineCode,SecondsAtLocation,ServiceType,TrainId,retrieved_on,Track,SeqNum,StationCode,Time,StartTime,TripId
6,2574,N06,2,SV,5488,Normal,192,1469347202,2,440,G05,2016-07-24 04:00:02,2016-07-24 04:00:02,2016-07-24_0
8,868,A15,2,RD,35,Normal,161,1469353599,2,399,B11,2016-07-24 05:46:39,2016-07-24 05:46:39,2016-07-24_1
6,2487,J03,2,BL,10,Normal,256,1469353869,1,403,G05,2016-07-24 05:51:09,2016-07-24 05:51:09,2016-07-24_2
6,3377,N06,2,SV,10,Normal,165,1469354990,2,88,N01,2016-07-24 06:09:50,2016-07-24 06:09:50,2016-07-24_3
6,3370,N06,2,SV,5,Normal,165,1469355055,2,81,N02,2016-07-24 06:10:55,2016-07-24 06:09:50,2016-07-24_3
6,3359,N06,2,SV,5,Normal,165,1469355140,2,70,N03,2016-07-24 06:12:20,2016-07-24 06:09:50,2016-07-24_3
6,3352,N06,2,SV,0,Normal,165,1469355210,2,63,N04,2016-07-24 06:13:30,2016-07-24 06:09:50,2016-07-24_3
4,2487,G05,1,BL,5,Normal,167,1469355625,1,403,G05,2016-07-24 06:20:25,2016-07-24 06:20:25,2016-07-24_4
6,3290,N06,2,SV,5,Normal,165,1469355686,2,1,N06,2016-07-24 06:21:26,2016-07-24 06:09:50,2016-07-24_3
